"_","Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","Pharma_Product__c","Country__c","Owner__c","Direction__c","CurrentMarketingCycle__c","Division__c"
"[Product_Owner__c]","a3qJW0000137jIQYAY","false","PON-0066","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH8pUAF","Украина","0053X00000DFvAuQAL","","false","Украина Respiratory health"
"[Product_Owner__c]","a3qJW0000137jIRYAY","false","PON-0067","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH8qUAF","Украина","0053X00000FEuC5QAL","UKR Hospital Care Direction","false","Украина Pain Management & Recovery"
"[Product_Owner__c]","a3qJW0000137jISYAY","false","PON-0068","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH8rUAF","Украина","0053X00000FEuC6QAL","UKR Hospital Care Direction","false","Украина Pain Management & Recovery"
"[Product_Owner__c]","a3qJW0000137jITYAY","false","PON-0069","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH8sUAF","Украина","0053X00000FEuCAQA1","UKR Primary Care Direction","true","Украина Therapeutic health"
"[Product_Owner__c]","a3qJW0000137jIUYAY","false","PON-0070","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH8tUAF","Украина","0053X00000FEuCBQA1","UKR Hospital Care Direction","false",""
"[Product_Owner__c]","a3qJW0000137jIVYAY","false","PON-0071","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH8uUAF","Украина","0053X00000FEuCHQA1","UKR Primary Care Direction","false","Украина Pain Management & Recovery"
"[Product_Owner__c]","a3qJW0000137jIWYAY","false","PON-0072","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH8vUAF","Украина","0053X00000FEuCJQA1","UKR Primary Care Direction","false",""
"[Product_Owner__c]","a3qJW0000137jIXYAY","false","PON-0073","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH8wUAF","Украина","0053X00000FEyylQAD","UKR Hospital Care Direction","false","Украина Infusion & Antibiotics"
"[Product_Owner__c]","a3qJW0000137jIYYAY","false","PON-0074","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH8xUAF","Украина","0053X00000FEz43QAD","UKR Hospital Care Direction","false","Украина Respiratory health"
"[Product_Owner__c]","a3qJW0000137jIZYAY","false","PON-0075","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH8yUAF","Украина","0053X00000FEz44QAD","UKR Primary Care Direction","false","Украина Respiratory health"
"[Product_Owner__c]","a3qJW0000137jIaYAI","false","PON-0076","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH8zUAF","Украина","0053X00000FaigiQAB","","false","Украина Respiratory health"
"[Product_Owner__c]","a3qJW0000137jIbYAI","false","PON-0077","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH90UAF","Украина","0053X00000FvqQzQAJ","UKR Hospital Care Direction","true","Украина Respiratory health"
"[Product_Owner__c]","a3qJW0000137jIcYAI","false","PON-0078","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH91UAF","Украина","0053X00000GKdRuQAL","","false",""
"[Product_Owner__c]","a3qJW0000137jIdYAI","false","PON-0079","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH92UAF","Украина","0053X00000GVds9QAD","","false",""
"[Product_Owner__c]","a3qJW0000137jIeYAI","false","PON-0080","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH93UAF","Украина","0053X00000GXaP3QAL","","false","Украина Infusion & Antibiotics"
"[Product_Owner__c]","a3qJW0000137jIfYAI","false","PON-0081","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH94UAF","Украина","0053X00000GYkGhQAL","","false","Украина Therapeutic Hospital Care"
"[Product_Owner__c]","a3qJW0000137jIgYAI","false","PON-0082","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH95UAF","Украина","0053X00000DFvAuQAL","","true","Украина Pain Management & Recovery"
"[Product_Owner__c]","a3qJW0000137jIhYAI","false","PON-0083","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH96UAF","Украина","0053X00000FEuC5QAL","UKR Hospital Care Direction","true","Украина Respiratory health"
"[Product_Owner__c]","a3qJW0000137jIiYAI","false","PON-0084","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH97UAF","Украина","0053X00000FEuC6QAL","UKR Hospital Care Direction","false","Украина Respiratory health"
"[Product_Owner__c]","a3qJW0000137jIjYAI","false","PON-0085","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH98UAF","Украина","0053X00000FEuCAQA1","UKR Primary Care Direction","false","Украина Therapeutic health"
"[Product_Owner__c]","a3qJW0000137jIkYAI","false","PON-0086","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","005Qv000004E2pJIAS","2026-03-24T07:10:44.000+0000","","","","a0X3X00000NjH99UAF","Украина","0053X00000FEuCBQA1","UKR Hospital Care Direction","true","Украина Orphan Diseases & Oncology"
