productid,erpcode,picture,productname,productnamefull,ean,category,subcategory,brand,weight,package,sortorder,units,vat,skuba,shelflife,productgroup,productsubgroup,qtybox,qtypack,qtyset,brandid,volume,activity,country,color,brandname
0,-,-,-,-,-,-,-,-,0.0,-,0,-,20,-,-,-,-,100,0,0,0,1,0,,,-
2,ПР0293052,-,Вода Рео 1050мл,-,4823089506555,Мінеральна вода,Лікувально-столова вода,ReO,1.05,п/пл,0,Поточний асортимент,20,-,Літри,Вода,Газована вода,6,0,0,0,0,0,Україна,Прозорий,-
3,ПР02325990,-,Вода РеО 950 мл,-,4823089500331,Мінеральна вода,Лікувально-столова вода,ReO,0.95,п/пл,0,Поточний асортимент,20,-,Літри,Вода,Газована вода,6,0,0,0,0,0,Україна,Прозорий,-
4,ПР0283805 ,-,Вода Ізота 950 мл,-,4823089506319,Мінеральна вода,Лікувально-столова вода,Ізота,0.95,п/пл,0,Поточний асортимент,20,-,Літри,Вода,Газована вода,6,0,0,0,0,0,Україна,Прозорий,-
5,ПР02318542,-,Вода для запивання ліків Laqua 190 мл,-,4820023316218,Мінеральна вода,Лікувально-столова вода,Laqua,0.19,п/пл,0,Поточний асортимент,20,-,Літри,Вода,Негазована вода,12,0,0,0,0,0,Україна,Прозорий,-
6,ПР0299983 ,-,Вода Рео 1500 мл,-,4823089506920,Мінеральна вода,Лікувально-столова вода,ReO,1.5,п/пл,0,Поточний асортимент,20,-,Літри,Вода,Газована вода,6,0,0,0,0,0,Україна,Прозорий,-
7,ПР0306867,-,Вода РеО 950 мл зі смаком лимону,-,4823089507149,Мінеральна вода,Лікувально-столова вода,ReO,0.95,п/пл,0,Поточний асортимент,20,-,Літри,Вода,Газована вода,6,0,0,0,0,0,Україна,Прозорий,-
